battery,sample,mae,rmse
2C_battery-2,Gen_1,0.023191,0.027070
2C_battery-2,Gen_2,0.030690,0.035854
2C_battery-2,Gen_3,0.012945,0.016245
2C_battery-2,Gen_4,0.034115,0.039156
2C_battery-2,Gen_5,0.074088,0.084312
2C_battery-2,Ensemble,0.029589,0.033920
3C_battery-5,Gen_1,0.011896,0.015634
3C_battery-5,Gen_2,0.036609,0.038974
3C_battery-5,Gen_3,0.029169,0.032604
3C_battery-5,Gen_4,0.017399,0.019820
3C_battery-5,Gen_5,0.035433,0.037710
3C_battery-5,Ensemble,0.024440,0.026665
3C_battery-10,Gen_1,0.026925,0.029925
3C_battery-10,Gen_2,0.037948,0.042101
3C_battery-10,Gen_3,0.012727,0.015164
3C_battery-10,Gen_4,0.024816,0.027845
3C_battery-10,Gen_5,0.013227,0.018334
3C_battery-10,Ensemble,0.021086,0.023709
3C_battery-6,Gen_1,0.022088,0.025687
3C_battery-6,Gen_2,0.021345,0.024549
3C_battery-6,Gen_3,0.032178,0.035899
3C_battery-6,Gen_4,0.022850,0.027174
3C_battery-6,Gen_5,0.020332,0.022909
3C_battery-6,Ensemble,0.018424,0.020791
R2.5_battery-4,Gen_1,0.046028,0.060382
R2.5_battery-4,Gen_2,0.027279,0.034594
R2.5_battery-4,Gen_3,0.046818,0.055304
R2.5_battery-4,Gen_4,0.061377,0.071429
R2.5_battery-4,Gen_5,0.038109,0.051151
R2.5_battery-4,Ensemble,0.039041,0.047678
R3_battery-5,Gen_1,0.060298,0.069881
R3_battery-5,Gen_2,0.048667,0.058152
R3_battery-5,Gen_3,0.074212,0.085285
R3_battery-5,Gen_4,0.036167,0.045083
R3_battery-5,Gen_5,0.049683,0.059457
R3_battery-5,Ensemble,0.046613,0.054229
RW_battery-3,Gen_1,0.040526,0.051806
RW_battery-3,Gen_2,0.061585,0.076124
RW_battery-3,Gen_3,0.074270,0.091344
RW_battery-3,Gen_4,0.050811,0.064102
RW_battery-3,Gen_5,0.046409,0.058989
RW_battery-3,Ensemble,0.050002,0.063107
