battery,sample,mae,rmse
2C_battery-2,Gen_1,0.016644,0.018116
2C_battery-2,Gen_2,0.018951,0.022165
2C_battery-2,Gen_3,0.011565,0.014552
2C_battery-2,Gen_4,0.010151,0.012995
2C_battery-2,Gen_5,0.010059,0.012233
2C_battery-2,Ensemble,0.009522,0.012080
3C_battery-5,Gen_1,0.052577,0.053771
3C_battery-5,Gen_2,0.049491,0.050959
3C_battery-5,Gen_3,0.026309,0.027524
3C_battery-5,Gen_4,0.012280,0.014289
3C_battery-5,Gen_5,0.022518,0.023775
3C_battery-5,Ensemble,0.032418,0.033342
3C_battery-10,Gen_1,0.036025,0.046823
3C_battery-10,Gen_2,0.011891,0.016544
3C_battery-10,Gen_3,0.029887,0.033657
3C_battery-10,Gen_4,0.017659,0.019603
3C_battery-10,Gen_5,0.032808,0.044609
3C_battery-10,Ensemble,0.019360,0.027321
3C_battery-6,Gen_1,0.069190,0.069817
3C_battery-6,Gen_2,0.039921,0.041261
3C_battery-6,Gen_3,0.030678,0.033287
3C_battery-6,Gen_4,0.044694,0.047499
3C_battery-6,Gen_5,0.021321,0.025906
3C_battery-6,Ensemble,0.040609,0.041935
R2.5_battery-4,Gen_1,0.024507,0.030384
R2.5_battery-4,Gen_2,0.029204,0.037102
R2.5_battery-4,Gen_3,0.031596,0.036732
R2.5_battery-4,Gen_4,0.018937,0.024020
R2.5_battery-4,Gen_5,0.045396,0.051161
R2.5_battery-4,Ensemble,0.023018,0.028749
R3_battery-5,Gen_1,0.053263,0.060901
R3_battery-5,Gen_2,0.049352,0.057008
R3_battery-5,Gen_3,0.062385,0.069253
R3_battery-5,Gen_4,0.047526,0.054598
R3_battery-5,Gen_5,0.040124,0.044168
R3_battery-5,Ensemble,0.046677,0.052946
RW_battery-3,Gen_1,0.046864,0.059102
RW_battery-3,Gen_2,0.044853,0.055453
RW_battery-3,Gen_3,0.044336,0.056151
RW_battery-3,Gen_4,0.042441,0.053472
RW_battery-3,Gen_5,0.046391,0.058414
RW_battery-3,Ensemble,0.042316,0.053263
