battery,sample,mae,rmse
2C_battery-2,Gen_1,0.018368,0.020132
2C_battery-2,Gen_2,0.024391,0.025709
2C_battery-2,Gen_3,0.015886,0.018895
2C_battery-2,Gen_4,0.014138,0.016537
2C_battery-2,Gen_5,0.015981,0.019005
2C_battery-2,Ensemble,0.012643,0.014202
3C_battery-5,Gen_1,0.024775,0.027539
3C_battery-5,Gen_2,0.011034,0.014504
3C_battery-5,Gen_3,0.024383,0.026920
3C_battery-5,Gen_4,0.018087,0.021616
3C_battery-5,Gen_5,0.017025,0.019396
3C_battery-5,Ensemble,0.015997,0.018174
3C_battery-10,Gen_1,0.015299,0.019818
3C_battery-10,Gen_2,0.014376,0.017660
3C_battery-10,Gen_3,0.025595,0.029039
3C_battery-10,Gen_4,0.012768,0.016001
3C_battery-10,Gen_5,0.013620,0.019123
3C_battery-10,Ensemble,0.013884,0.017588
3C_battery-6,Gen_1,0.021038,0.023151
3C_battery-6,Gen_2,0.009851,0.012493
3C_battery-6,Gen_3,0.015726,0.019027
3C_battery-6,Gen_4,0.015587,0.018950
3C_battery-6,Gen_5,0.012585,0.014846
3C_battery-6,Ensemble,0.007359,0.010053
R2.5_battery-4,Gen_1,0.021618,0.026889
R2.5_battery-4,Gen_2,0.020944,0.026564
R2.5_battery-4,Gen_3,0.025030,0.030357
R2.5_battery-4,Gen_4,0.027894,0.034222
R2.5_battery-4,Gen_5,0.015592,0.018893
R2.5_battery-4,Ensemble,0.017925,0.023449
R3_battery-5,Gen_1,0.041802,0.048731
R3_battery-5,Gen_2,0.039215,0.046307
R3_battery-5,Gen_3,0.037381,0.044441
R3_battery-5,Gen_4,0.037752,0.047257
R3_battery-5,Gen_5,0.040087,0.047467
R3_battery-5,Ensemble,0.038349,0.045109
RW_battery-3,Gen_1,0.038753,0.048655
RW_battery-3,Gen_2,0.037216,0.049236
RW_battery-3,Gen_3,0.035227,0.046186
RW_battery-3,Gen_4,0.034688,0.045299
RW_battery-3,Gen_5,0.034987,0.046292
RW_battery-3,Ensemble,0.034423,0.045035
