battery_name,sample,mae,rmse
2C_battery-2,Gen_1,0.175126,0.219092
2C_battery-2,Gen_2,0.172123,0.217199
2C_battery-2,Gen_3,0.173106,0.217915
2C_battery-2,Gen_4,0.168689,0.215954
2C_battery-2,Gen_5,0.170375,0.216606
2C_battery-2,Ensemble,0.171238,0.216612
3C_battery-5,Gen_1,0.177284,0.220364
3C_battery-5,Gen_2,0.180563,0.223365
3C_battery-5,Gen_3,0.178667,0.221315
3C_battery-5,Gen_4,0.185159,0.227182
3C_battery-5,Gen_5,0.174028,0.218512
3C_battery-5,Ensemble,0.178662,0.221226
3C_battery-10,Gen_1,0.151975,0.196501
3C_battery-10,Gen_2,0.153845,0.199109
3C_battery-10,Gen_3,0.156261,0.200012
3C_battery-10,Gen_4,0.152754,0.198814
3C_battery-10,Gen_5,0.151916,0.196203
3C_battery-10,Ensemble,0.152893,0.197291
3C_battery-6,Gen_1,0.180700,0.222791
3C_battery-6,Gen_2,0.183661,0.225312
3C_battery-6,Gen_3,0.175270,0.219523
3C_battery-6,Gen_4,0.180110,0.223690
3C_battery-6,Gen_5,0.183807,0.226510
3C_battery-6,Ensemble,0.180297,0.222695
R2.5_battery-4,Gen_1,0.183726,0.230514
R2.5_battery-4,Gen_2,0.182464,0.228051
R2.5_battery-4,Gen_3,0.183742,0.229711
R2.5_battery-4,Gen_4,0.185427,0.230515
R2.5_battery-4,Gen_5,0.179875,0.227883
R2.5_battery-4,Ensemble,0.182126,0.228464
R3_battery-5,Gen_1,0.142693,0.192202
R3_battery-5,Gen_2,0.142809,0.192547
R3_battery-5,Gen_3,0.143520,0.192144
R3_battery-5,Gen_4,0.138994,0.188710
R3_battery-5,Gen_5,0.143025,0.191983
R3_battery-5,Ensemble,0.141082,0.190407
RW_battery-3,Gen_1,0.129708,0.182050
RW_battery-3,Gen_2,0.132941,0.183958
RW_battery-3,Gen_3,0.134541,0.184963
RW_battery-3,Gen_4,0.135443,0.185177
RW_battery-3,Gen_5,0.130976,0.182155
RW_battery-3,Ensemble,0.131320,0.182462
