battery_name,sample,mae,rmse
2C_battery-2,Gen_1,0.055838,0.062518
2C_battery-2,Gen_2,0.090239,0.104492
2C_battery-2,Gen_3,0.078522,0.088863
2C_battery-2,Gen_4,0.037094,0.039587
2C_battery-2,Gen_5,0.081957,0.091298
2C_battery-2,Ensemble,0.066070,0.074202
3C_battery-5,Gen_1,0.058590,0.064013
3C_battery-5,Gen_2,0.039548,0.047436
3C_battery-5,Gen_3,0.012398,0.016554
3C_battery-5,Gen_4,0.051213,0.057556
3C_battery-5,Gen_5,0.041683,0.047843
3C_battery-5,Ensemble,0.039726,0.043561
3C_battery-10,Gen_1,0.036607,0.043897
3C_battery-10,Gen_2,0.065933,0.079641
3C_battery-10,Gen_3,0.024473,0.027711
3C_battery-10,Gen_4,0.027671,0.031607
3C_battery-10,Gen_5,0.063876,0.071918
3C_battery-10,Ensemble,0.038503,0.043391
3C_battery-6,Gen_1,0.027066,0.033107
3C_battery-6,Gen_2,0.095429,0.113133
3C_battery-6,Gen_3,0.074000,0.083994
3C_battery-6,Gen_4,0.061721,0.068730
3C_battery-6,Gen_5,0.063071,0.075853
3C_battery-6,Ensemble,0.062020,0.070740
R2.5_battery-4,Gen_1,0.073770,0.086554
R2.5_battery-4,Gen_2,0.060374,0.076516
R2.5_battery-4,Gen_3,0.045872,0.058603
R2.5_battery-4,Gen_4,0.087415,0.109622
R2.5_battery-4,Gen_5,0.042960,0.052849
R2.5_battery-4,Ensemble,0.060099,0.074854
R3_battery-5,Gen_1,0.071147,0.085851
R3_battery-5,Gen_2,0.060020,0.072974
R3_battery-5,Gen_3,0.061384,0.076204
R3_battery-5,Gen_4,0.058294,0.072617
R3_battery-5,Gen_5,0.049361,0.064010
R3_battery-5,Ensemble,0.057481,0.071543
RW_battery-3,Gen_1,0.061147,0.078206
RW_battery-3,Gen_2,0.083514,0.107351
RW_battery-3,Gen_3,0.048791,0.062507
RW_battery-3,Gen_4,0.078664,0.102458
RW_battery-3,Gen_5,0.055581,0.072085
RW_battery-3,Ensemble,0.060683,0.079303
